SHP_WAREHOUSE_ADDRESS,QTD_REPRESADO,FBM_ISSUE_ID,PROCCESS,MELI,TITULO,#ERROR!
RS-0-119-029-01-01,1,50000002906204,put_wall,OXPL90245,Papel Toalha Interfolhado Branco 100% Cel. 1000 Folhas 20x20,
RS-0-118-098-01-01,1,1380820635,it_support,SEUT56338,Papel Higiênico Mili Prime Confort Folha Tripla 32 Rolos,
RS-0-118-024-01-01,1,50000002989082,packing,KVGL06778,600 Panos Multiuso Perfex 28x40cm Inoven Rolo 240m Limpeza Cor Branco,
RS-0-118-024-01-01,1,50000002860004,packing,KVGL06778,600 Panos Multiuso Perfex 28x40cm Inoven Rolo 240m Limpeza Cor Branco,
RS-0-118-024-01-01,1,50000002994442,packing,KVGL06778,600 Panos Multiuso Perfex 28x40cm Inoven Rolo 240m Limpeza Cor Branco,
RS-0-118-024-01-01,1,50000002994422,packing,KVGL06778,600 Panos Multiuso Perfex 28x40cm Inoven Rolo 240m Limpeza Cor Branco,
RS-0-118-017-01-01,8,1394576240,stock_audit,EPFI72472,Fralda Descartável Turma Da Mônica Baby Xg Pacote 12 Unidades,
RS-0-117-030-01-01,2,50000003360866,stock_audit,AFSP98772,24 Potes Descartáveis 500ml Tampa Freezer Microondas Marmita,
RS-0-114-019-01-01,11,50000003360866,stock_audit,AFSP98772,24 Potes Descartáveis 500ml Tampa Freezer Microondas Marmita,
RS-0-113-014-01-01,1,50000003360866,stock_audit,AFSP98772,24 Potes Descartáveis 500ml Tampa Freezer Microondas Marmita,
RS-0-112-077-01-01,1,50000002664615,stock_audit,PFIP45099,Bobina Picotada 60x90 Plask Reforçada Resistente,
RS-0-112-077-01-01,1,50000002667793,stock_audit,PFIP45099,Bobina Picotada 60x90 Plask Reforçada Resistente,
RS-0-112-020-01-01,1,50000002556829,it_support,MKBD73388,Omo Lavagem Perfeita Sanitizante Lavagem Perfeita Pó - Caixa - 2.2 L - 2.2 Kg - Unidade - 1 - 1,
